Date,Open,High,Low,Close,Adj Close,Volume
10 July 2020,1707.949951,1711,1695.199951,1703.5,1699.398804,1156043
13 July 2020,1708,1732.900024,1700,1705.650024,1701.543701,1289791
14 July 2020,1705.650024,1718,1682.099976,1688.400024,1684.335205,1347120
15 July 2020,1700,1713.599976,1663.300049,1671.650024,1667.625488,1611341
16 July 2020,1679.800049,1697.099976,1645.099976,1693.199951,1689.123535,1442725
17 July 2020,1695,1742.5,1689.75,1717.900024,1713.76416,2308792
20 July 2020,1727,1757.349976,1720.25,1751.599976,1747.382935,1848600
21 July 2020,1761,1771.75,1719,1724.25,1720.098877,2088461
22 July 2020,1724.25,1736.400024,1691,1695.75,1691.667358,1300409
23 July 2020,1690,1740,1687,1727.800049,1725.166382,2375218
24 July 2020,1724,1727,1682,1712.050049,1709.44043,3971563
27 July 2020,1717.199951,1788,1717.199951,1778.150024,1775.439697,6470525
28 July 2020,1779,1792.650024,1751.050049,1759.650024,1756.967896,2534092
29 July 2020,1770,1779.900024,1730,1740.150024,1737.497559,1530981
30 July 2020,1752,1778,1728.099976,1743.349976,1740.692627,2113975
31 July 2020,1754,1770.900024,1710.400024,1715.5,1712.885132,1678643
03 August 2020,1729,1735,1697.5,1705.5,1702.900391,1437425
04 August 2020,1719,1735,1708.550049,1713.949951,1711.337402,1815396
05 August 2020,1718,1741.949951,1712.5,1716.300049,1713.68396,1416803
06 August 2020,1732.050049,1752.099976,1720.099976,1727.550049,1724.916748,1914507
07 August 2020,1727.550049,1816.900024,1725.699951,1806.25,1803.496826,5166075
10 August 2020,1810,1824.300049,1777,1782.349976,1779.633179,1892614
11 August 2020,1800,1837.800049,1780,1789.550049,1786.822266,3039662
12 August 2020,1789.949951,1806,1772,1797.25,1794.510498,1679096
13 August 2020,1806.400024,1815,1788,1802.550049,1799.80249,1192375
14 August 2020,1818.699951,1830,1795.5,1802.550049,1799.80249,1868376
17 August 2020,1820,1842.5,1801.849976,1836.699951,1833.900269,1634180
18 August 2020,1831,1884,1831,1874.099976,1871.243286,2586298
19 August 2020,1890,1902.400024,1872.550049,1885.699951,1882.825684,1947114
20 August 2020,1867.949951,1880,1857.050049,1874.900024,1872.042114,1538879
21 August 2020,1887.900024,1973.25,1880.75,1958,1955.015503,5688228
24 August 2020,1958,1996,1940,1962.150024,1959.15918,3996329
25 August 2020,1964.25,2016.849976,1964,2000.599976,1997.550537,3544399
26 August 2020,2000.949951,2009,1955.5,1971.400024,1968.39502,2245810
27 August 2020,1980.900024,2009,1970.050049,1982.5,1979.478149,3116305
28 August 2020,1994,1997,1953.300049,1958.099976,1955.115356,1842536
31 August 2020,1977,1983.900024,1881.25,1899.099976,1896.2052,2738522
01 September 2020,1925,1988,1907.75,1979.300049,1976.283081,3068285
02 September 2020,1977.949951,1997,1925,1943.949951,1940.986816,2569603
03 September 2020,1950.199951,1987.849976,1945,1978,1974.984985,1931667
04 September 2020,1958,1993.699951,1951,1956.349976,1953.36792,1930422
07 September 2020,1965,2003.650024,1948.099976,1982.099976,1979.078735,2855392
08 September 2020,1987.5,2001.949951,1952,1960.349976,1957.361816,2401034
09 September 2020,1960.349976,1993.900024,1958,1979.050049,1976.033447,2776804
10 September 2020,1985.050049,2069.699951,1981,2056.550049,2053.415283,5081252
11 September 2020,2063,2069.949951,2022,2035.949951,2032.846558,2599475
14 September 2020,2050,2054,2005,2031.199951,2028.103882,2142458
15 September 2020,2045,2049.550049,2009.050049,2017.550049,2014.474731,1997383
16 September 2020,2027,2027,1994.150024,2012.099976,2009.032959,1717740
17 September 2020,2000,2045,2000,2007.949951,2004.889282,2416918
18 September 2020,2026.300049,2044.349976,2015,2028.400024,2025.308228,3021436
21 September 2020,2036.400024,2057,1962.300049,1972.550049,1969.543335,2518361
22 September 2020,1990.199951,1995.699951,1926.349976,1937.5,1934.546753,1974860
23 September 2020,1940,1990,1928.300049,1946.550049,1943.583008,2732912
24 September 2020,1941.550049,1945,1907.75,1918.349976,1915.425903,1906183
25 September 2020,1925.25,1955,1908,1925.599976,1922.664795,1939316
28 September 2020,1938,1958,1930,1945.599976,1942.634399,1137313
29 September 2020,1960,1989.949951,1954,1959.949951,1956.962402,1965383
30 September 2020,1966.099976,2004,1958.150024,1986.400024,1983.372192,2518982
01 October 2020,2007,2049.350098,1992.050049,2040.449951,2037.339722,2014003
05 October 2020,2040.449951,2042.699951,2011,2028,2024.908813,1554873
06 October 2020,2050,2097.899902,2045.099976,2090,2086.814209,3152378
07 October 2020,2080,2118.800049,2073.949951,2105,2101.791504,2429595
08 October 2020,2104.5,2107.949951,2072.050049,2088.649902,2085.466309,1427493
09 October 2020,2094,2108.899902,2045.150024,2050.600098,2047.474487,1636939
12 October 2020,2067.899902,2086.449951,2041.25,2077.850098,2074.682861,2182836
13 October 2020,2077,2114,2054.050049,2064.649902,2061.50293,2619233
14 October 2020,2070,2085.5,2055,2071.350098,2068.192871,1530471
15 October 2020,2070,2124,2066.050049,2090.449951,2087.263428,4001883
16 October 2020,2089.949951,2090,2055.550049,2061.199951,2058.058105,2017706
19 October 2020,2079.949951,2079.949951,2056.5,2070.100098,2066.944824,1338404
20 October 2020,2077.899902,2131.800049,2067.350098,2118.5,2115.270752,2377713
21 October 2020,2130,2143.850098,2081.25,2114.300049,2111.077393,2895432
22 October 2020,2114.199951,2116.850098,2076.800049,2099.899902,2096.698975,2755686
23 October 2020,2113.5,2129.399902,2096,2120.25,2117.018066,3070714
26 October 2020,2116.350098,2116.350098,2070.050049,2080.449951,2077.278809,1278139
27 October 2020,2085,2207.350098,2085,2197.800049,2194.449951,4964874
28 October 2020,2199.800049,2218.550049,2150.149902,2159.550049,2159.550049,3166047
29 October 2020,2162,2233.25,2161.100098,2225.449951,2225.449951,4795796
30 October 2020,2210.100098,2242.850098,2195.5,2211.5,2211.5,3006197
02 November 2020,2198,2225.899902,2166.100098,2172.850098,2172.850098,1772571
